Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
700,B,1691,55,0,94,0,6,0
700,B,1692,75,0,94,0,6,0
700,B,1694,35,0,94,0,6,0
703,B,1703,35,0,0,0,5,0
704,B,1704,75,0,99,1,0,0
704,B,1705,45,0,99,1,0,0
704,B,1706,55,0,99,1,0,0
704,B,1707,45,0,99,1,0,0
704,B,1708,125,0,99,1,0,0
704,B,1710,155,0,99,1,0,0
704,B,1712,85,0,99,1,0,0
706,B,1714,135,0,64,0,0,0
706,B,1716,65,0,64,0,0,0
706,B,1717,15,0,64,0,0,0
707,B,1720,25,0,1,0,2,2
711,B,1728,25,0,0,0,0,0
711,B,1729,15,0,0,0,0,0
712,B,1730,35,0,0,15,3,0
712,B,1731,25,0,0,15,3,0
714,B,1738,45,0,97,0,3,0
714,B,1740,45,0,97,0,3,0
714,B,1741,45,0,97,0,3,0
714,B,1742,75,0,97,0,3,0
715,B,1746,45,0,0,0,56,0
716,B,1748,75,0,46,0,0,0
717,B,1751,65,0,96,0,2,2
717,B,1754,15,0,96,0,2,2
718,B,1755,5,0,87,0,0,0
718,B,1758,75,0,87,0,0,0
719,B,1759,175,0,73,0,0,0
719,B,1760,145,0,73,0,0,0
719,B,1763,5,0,73,0,0,0
719,B,1764,5,0,73,0,0,0
720,B,1767,15,0,21,14,0,0
722,B,1773,15,0,1,12,0,0
722,B,1776,5,0,1,12,0,0
722,B,1779,25,0,1,12,0,0
724,B,1783,125,0,100,0,0,0
724,B,1785,85,0,100,0,0,0
726,B,1788,25,0,26,0,9,0
730,B,1800,125,0,9,17,0,0
730,B,1801,5,0,9,17,0,0
732,B,1805,55,0,49,0,0,0
732,B,1807,55,0,49,0,0,0
733,B,1812,25,1,0,7,5,0
733,B,1813,15,1,0,7,5,0
734,B,1815,45,5,0,2,0,0
734,B,1817,15,5,0,2,0,0
734,B,1818,75,5,0,2,0,0
735,B,1820,55,0,86,14,0,0
735,B,1821,105,0,86,14,0,0
735,B,1825,5,0,86,14,0,0
735,B,1826,5,0,86,14,0,0
736,B,1828,35,0,1,0,99,0
736,B,1829,85,0,1,0,99,0
738,B,1833,5,0,26,14,6,0
740,B,1841,125,0,100,0,0,0
740,B,1842,35,0,100,0,0,0
740,B,1844,65,0,100,0,0,0
740,B,1845,25,0,100,0,0,0
740,B,1846,75,0,100,0,0,0
740,B,1847,155,0,100,0,0,0
740,B,1848,195,0,100,0,0,0
741,B,1850,25,1,0,1,0,0
741,B,1851,75,1,0,1,0,0
742,B,1852,5,1,7,50,0,0
745,B,1858,5,7,0,20,0,0
746,B,1859,25,0,0,6,91,0
746,B,1860,55,0,0,6,91,0
748,B,1862,25,1,0,2,0,0
750,B,1864,85,0,46,24,18,0
751,B,1867,75,1,0,2,0,0
752,B,1870,5,0,0,0,100,0
756,B,1878,55,0,8,2,56,0
759,B,1884,25,0,73,2,4,0
759,B,1885,25,0,73,2,4,0
759,B,1886,5,0,73,2,4,0
759,B,1888,5,0,73,2,4,0
762,B,1895,25,0,0,30,0,0
764,B,1902,15,0,0,0,0,0
765,B,1903,25,1,0,7,0,0
11,B,NA,NA,0,0,0,58,0
51,B,NA,NA,0,14,0,76,0
59,B,NA,NA,0,0,0,66,0
86,B,NA,NA,0,0,0,96,4
88,B,NA,NA,0,26,4,5,0
131,B,NA,NA,0,0,6,0,0
151,B,NA,NA,1,0,17,0,0
208,B,NA,NA,0,0,0,11,46
240,B,NA,NA,0,2,22,6,2
254,B,NA,NA,0,0,0,73,0
306,B,NA,NA,0,0,1,19,0
312,B,NA,NA,0,0,1,11,0
384,B,NA,NA,0,0,9,23,0
411,B,NA,NA,2,0,6,0,0
535,B,NA,NA,7,0,0,0,0
573,B,NA,NA,3,6,7,1,0
576,B,NA,NA,95,0,1,0,0
603,B,NA,NA,1,0,2,0,0
626,B,NA,NA,1,0,0,0,0
640,B,NA,NA,0,7,0,0,0
675,B,NA,NA,0,0,0,100,0
