Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
692,A,1191,25,0,0,20,0,0
692,A,1195,5,0,0,20,0,0
693,A,1199,5,0,19,42,29,0
694,A,1204,15,0,88,0,4,0
696,A,1207,5,0,100,0,0,0
697,A,1208,15,0,57,4,17,0
701,A,1219,35,0,11,32,0,0
705,A,1228,5,0,0,0,2,0
706,A,1233,5,0,64,0,0,0
707,A,1236,15,0,1,0,2,2
708,A,1240,5,0,3,0,0,0
710,A,1246,15,0,3,0,0,0
711,A,1248,15,0,0,0,0,0
712,A,1249,25,0,0,15,3,0
722,A,1273,45,0,1,12,0,0
728,A,1281,5,0,0,0,2,0
729,A,1283,15,1,0,10,0,0
737,A,1301,25,0,0,0,0,0
738,A,1303,25,0,26,14,6,0
744,A,1311,15,1,0,19,0,0
744,A,1312,25,1,0,19,0,0
744,A,1313,35,1,0,19,0,0
744,A,1314,15,1,0,19,0,0
748,A,1319,5,1,0,2,0,0
750,A,1326,5,0,46,24,18,0
751,A,1329,15,1,0,2,0,0
758,A,1337,35,1,0,22,0,0
62,A,NA,NA,2,0,0,0,0
97,A,NA,NA,0,0,4,15,0
111,A,NA,NA,0,0,0,91,8
138,A,NA,NA,1,0,0,14,22
308,A,NA,NA,0,62,0,0,0
335,A,NA,NA,0,0,0,33,0
414,A,NA,NA,0,79,0,20,1
460,A,NA,NA,0,0,0,0,0
465,A,NA,NA,0,0,0,53,0
512,A,NA,NA,0,94,0,6,0
664,A,NA,NA,0,98,0,0,0
7,B,16,55,0,0,0,55,1
13,B,28,25,0,0,0,0,9
13,B,30,95,0,0,0,0,9
14,B,33,35,0,0,0,0,0
19,B,45,25,2,0,0,0,0
20,B,46,5,1,0,0,0,0
23,B,54,35,0,0,0,14,0
24,B,55,5,0,70,12,3,0
24,B,57,65,0,70,12,3,0
24,B,58,55,0,70,12,3,0
24,B,62,15,0,70,12,3,0
27,B,73,15,0,0,0,72,0
28,B,75,45,1,0,0,9,0
30,B,81,55,0,0,0,97,3
32,B,84,75,0,86,0,1,0
32,B,86,55,0,86,0,1,0
34,B,94,55,0,0,0,100,0
38,B,104,75,0,0,0,100,0
38,B,105,5,0,0,0,100,0
40,B,108,55,0,26,0,59,0
42,B,113,85,0,0,0,100,0
42,B,117,45,0,0,0,100,0
54,B,127,5,0,0,0,32,2
54,B,128,5,0,0,0,32,2
61,B,137,45,0,0,0,55,0
62,B,140,45,2,0,0,0,0
64,B,146,15,1,0,4,0,0
69,B,151,55,0,0,0,100,0
74,B,165,15,0,0,0,50,0
78,B,174,25,0,0,0,78,22
82,B,182,35,0,0,0,100,0
85,B,186,5,0,5,40,38,0
87,B,192,5,0,0,0,100,0
90,B,194,65,0,0,0,25,5
91,B,196,35,0,0,0,100,0
94,B,202,15,0,0,0,100,0
98,B,210,45,0,0,0,100,0
100,B,214,15,0,0,0,100,0
102,B,218,75,0,0,0,83,0
104,B,223,85,0,85,0,14,0
105,B,227,55,0,34,0,5,2
106,B,230,65,0,40,31,16,0
106,B,231,5,0,40,31,16,0
109,B,240,25,0,0,0,98,2
109,B,241,65,0,0,0,98,2
115,B,249,5,0,0,0,86,10
116,B,252,45,0,1,38,58,0
118,B,255,25,0,28,2,63,0
118,B,257,65,0,28,2,63,0
122,B,260,15,0,0,0,97,0
125,B,263,15,0,0,0,5,0
125,B,264,5,0,0,0,5,0
